system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
147_0,3659.5,3278.0,1438.5,1975.5,2981.0,3267.0,3320.0,3399.5,3412.5,3401.5,0.10263302,0.26670378,0.02010313,-0.03492647,0.06749042,270.0,1560.0,140.92546,1.081262,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,3534.0,3353.5,914.0,1356.5,2003.0,2172.0,2234.3333,2342.0,2347.25,2371.6667,0.114578135,0.26749915,-0.17651187,-0.20178534,0.079133384,14.515546,1352.0,156.60876,8.558431,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,3665.0,3103.0,1148.5,1739.0,2387.0,2636.5,2664.0,2730.5,2640.5,2658.0,0.07590047,0.20584542,-0.080525815,-0.1624772,0.050422676,187.3526,1071.0,158.41037,16.372559,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,3062.0,2779.0,1091.0,1498.0,2194.0,2421.0,2462.0,2567.0,2591.0,2631.0,0.13104905,0.2673025,-0.03500931,-0.08331859,0.08296761,53.80887,1252.0,136.287,24.987757,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,3943.4,3687.25,1323.7142,1870.238,2604.5,2834.25,2898.6428,2959.0,2896.0,2858.0,0.084776394,0.21521416,-0.120191395,-0.15314208,0.052995183,49.307785,692.0,127.90371,1.42225,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,3932.5,3546.6667,1774.0,2325.3333,3081.0,3366.5,3483.0,3547.0,3508.0,3524.0,0.12284235,0.20274287,-0.005481017,-0.057052616,0.06480498,30.172567,900.0,139.23367,2.1446872,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,3492.0,2991.0,1314.0,1858.0,2647.0,2717.0,2826.0,2876.0,3020.0,2940.0,0.10306145,0.23821238,0.0048244884,-0.07248157,0.06581966,309.3113,1503.0,164.2834,29.341837,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,4410.0,3703.3333,1243.4,1897.0,2983.3333,3211.3333,3337.6667,3431.5,3507.0,3411.0,0.108352326,0.29792747,-0.027229428,-0.11405835,0.08068411,323.86026,1754.0,124.44841,17.78189,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,4136.0,3749.0,1185.5,1727.5,2512.0,2771.0,2812.5,2930.5,2921.5,2935.0,0.11245984,0.2568294,-0.12405367,-0.17208643,0.07536579,299.87094,947.0,152.60736,7.4074626,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,2421.0,2190.0,1057.0,1456.0,1954.5,2131.6667,2163.6667,2235.0,2217.0,2236.8,0.10905692,0.20718758,0.0061266166,-0.043984476,0.06292701,338.71194,1433.0,124.1831,2.9835331,"{""type"":""MultiPoint"",""coordinates"":[]}"
